#numMotions
8
#motionIndex
0 0
#motionName
rest rest
#numFrames
799 799
#minListSize
138
#i j distance theta x0 z0
621 1776 155.364 2.13448 -1.6565 0.351246
631 1776 155.391 2.12911 -1.65955 0.3532
624 1776 155.413 2.13295 -1.65734 0.351821
498 1777 155.493 2.15133 -1.64561 0.34853
505 1777 155.797 2.14899 -1.64643 0.349142
663 1776 156.318 2.10647 -1.67132 0.360628
518 1777 156.321 2.14543 -1.6477 0.349788
588 1776 156.543 2.14224 -1.65115 0.348579
578 1776 156.669 2.14344 -1.65025 0.348294
555 1777 156.818 2.14391 -1.64874 0.348114
536 1777 156.825 2.14405 -1.64833 0.348934
542 1777 156.89 2.14379 -1.64847 0.348688
191 1823 165.891 2.08379 -1.69932 0.357444
182 1823 165.944 2.08748 -1.69804 0.355592
174 1823 165.959 2.08952 -1.6973 0.35459
233 1823 167.612 2.06971 -1.70145 0.365494
131 1822 167.805 2.09594 -1.6929 0.349442
272 1824 169.059 2.07317 -1.69887 0.366864
276 1824 169.092 2.07272 -1.69926 0.367453
174 1776 170.028 1.94467 -1.74397 0.396238
150 1776 170.401 1.95048 -1.74108 0.393127
156 1776 170.411 1.9493 -1.74166 0.393822
0 1823 170.726 2.13883 -1.66766 0.329283
129 1776 170.749 1.95435 -1.73863 0.390554
417 1514 172.187 2.86144 -1.54685 0.117295
423 1514 172.239 2.86378 -1.54591 0.116538
426 1515 172.242 2.86445 -1.54618 0.116211
432 1515 172.351 2.86786 -1.54497 0.114709
440 1515 172.484 2.87249 -1.54348 0.112508
498 1514 172.517 2.86548 -1.54067 0.114341
488 1514 172.576 2.86956 -1.54034 0.112607
505 1514 172.607 2.86359 -1.54086 0.114992
493 1514 172.614 2.8673 -1.54049 0.113624
450 1515 172.911 2.87675 -1.54209 0.110235
471 1514 173.127 2.87728 -1.54 0.109293
461 1514 173.169 2.87894 -1.54036 0.108882
272 1774 173.849 1.9276 -1.74694 0.408124
248 1775 173.863 1.92575 -1.74753 0.406834
264 1774 174.04 1.92637 -1.74731 0.407822
549 1514 174.288 2.86445 -1.54082 0.112015
365 1515 174.83 2.82342 -1.55592 0.12882
3 1775 175.242 1.99387 -1.71288 0.373608
7 1775 175.262 1.99115 -1.71415 0.374612
19 1775 175.343 1.98469 -1.71762 0.376982
27 1775 175.37 1.98298 -1.71895 0.377732
33 1775 175.458 1.98153 -1.72007 0.37831
272 1513 176.12 2.70444 -1.57418 0.177026
254 1514 176.584 2.7083 -1.57389 0.173854
257 1514 176.592 2.70788 -1.57385 0.174206
488 1332 182.129 2.67343 -1.59218 0.238513
498 1332 182.164 2.66932 -1.59303 0.240041
492 1332 182.22 2.67151 -1.59254 0.239274
505 1332 182.285 2.66739 -1.59347 0.24061
440 1333 182.595 2.67663 -1.59484 0.23814
436 1333 182.604 2.67457 -1.59577 0.239041
428 1333 182.631 2.6703 -1.59784 0.240769
412 1332 182.673 2.66564 -1.59993 0.242224
417 1332 182.684 2.66705 -1.59918 0.242074
409 1332 182.729 2.66528 -1.60022 0.242014
471 1332 182.754 2.68118 -1.59085 0.23558
450 1333 182.809 2.68055 -1.59301 0.23622
461 1333 182.858 2.68185 -1.59192 0.235238
530 1333 183.399 2.66579 -1.59443 0.239344
536 1333 183.495 2.66631 -1.5943 0.238688
549 1333 183.718 2.66731 -1.59422 0.237627
727 1514 184.167 2.8048 -1.55955 0.131799
742 1514 184.235 2.79874 -1.56003 0.130798
759 1514 184.395 2.79458 -1.55901 0.128961
4 1513 184.673 2.77541 -1.55549 0.129781
